Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776382120,80,,Aggregated,142.900000,113.700000,280,300,310,320,420,570,940,1200,6300,6400,6400,8506,6292,280,362.9019764519504,239.97640000015963,6422.056900002644,35.50129320479662
1776382121,80,,Aggregated,143.300000,113.500000,280,300,310,320,420,570,920,1200,6300,6400,6400,8659,6421,280,361.41870105096507,239.97640000015963,6422.056900002644,35.54128652269315
1776382122,80,,Aggregated,144.300000,114.400000,280,300,310,320,410,570,910,1200,6300,6400,6400,8808,6535,280,359.99127649866637,239.97640000015963,6422.056900002644,35.54325613079019
1776382123,80,,Aggregated,145.500000,115.000000,280,300,310,320,400,560,900,1200,6300,6400,6400,8952,6653,280,358.70553884050906,239.97640000015963,6422.056900002644,35.568699731903486
1776382124,80,,Aggregated,146.100000,116.900000,280,300,310,320,400,560,890,1200,6300,6400,6400,9097,6766,280,357.4306187644526,239.97640000015963,6422.056900002644,35.57623392327141
1776382125,80,,Aggregated,146.200000,116.800000,280,300,310,320,420,560,890,1200,6300,6400,6400,9217,6868,280,358.05838373660293,239.97640000015963,6422.056900002644,35.607138982315284
1776382126,80,,Aggregated,146.300000,117.700000,280,300,310,320,410,560,880,1200,6300,6400,6400,9371,6995,280,356.71348364105114,239.97640000015963,6422.056900002644,35.63440401237862
1776382127,80,,Aggregated,144.400000,116.300000,280,300,310,320,410,550,860,1200,6300,6400,6400,9523,7113,280,355.4773053764829,239.97640000015963,6422.056900002644,35.63960936679618
1776382128,80,,Aggregated,144.000000,116.200000,280,300,310,320,400,550,860,1200,6300,6400,6400,9674,7237,280,354.2947225760048,239.97640000015963,6422.056900002644,35.663531114327064
1776382129,80,,Aggregated,143.700000,115.800000,280,300,310,320,400,550,850,1200,6300,6400,6400,9819,7352,280,353.19589761690696,239.97640000015963,6422.056900002644,35.67461044912924
1776382130,80,,Aggregated,146.200000,117.500000,280,300,310,320,390,550,850,1200,6300,6400,6400,9970,7476,280,352.0204086961172,239.97640000015963,6422.056900002644,35.69729187562688
1776382131,80,,Aggregated,146.000000,118.100000,280,300,310,320,390,540,840,1200,6200,6400,6400,10121,7594,280,350.9653252050476,239.97640000015963,6422.056900002644,35.70329018871653
